Neuron 0 → max=5.4109, min=0.0000, thr=5.3947
   Video 2, Frame 5737, Value 5.3984
   Video 2, Frame 5738, Value 5.4109
   Video 2, Frame 5739, Value 5.4010
--------------------------------------------------
Neuron 1 → max=2.7073, min=0.0000, thr=2.6992
   Video 0, Frame 512, Value 2.7025
   Video 2, Frame 512, Value 2.7041
   Video 4, Frame 512, Value 2.7033
   Video 5, Frame 512, Value 2.7038
   Video 6, Frame 512, Value 2.7052
   Video 7, Frame 512, Value 2.6996
   Video 8, Frame 512, Value 2.7009
   Video 10, Frame 512, Value 2.7045
   Video 11, Frame 512, Value 2.7042
   Video 11, Frame 514, Value 2.7010
   Video 11, Frame 515, Value 2.7014
   Video 13, Frame 512, Value 2.7012
   Video 15, Frame 512, Value 2.7073
   Video 16, Frame 512, Value 2.7053
   Video 16, Frame 514, Value 2.7017
   Video 16, Frame 515, Value 2.7023
   Video 17, Frame 512, Value 2.7028
   Video 19, Frame 512, Value 2.7032
   Video 24, Frame 512, Value 2.7015
   Video 25, Frame 512, Value 2.7004
   Video 26, Frame 512, Value 2.7030
   Video 27, Frame 512, Value 2.7036
   Video 29, Frame 512, Value 2.7011
   Video 30, Frame 512, Value 2.7049
   Video 30, Frame 514, Value 2.6998
   Video 30, Frame 515, Value 2.7005
   Video 34, Frame 512, Value 2.7016
   Video 36, Frame 512, Value 2.7040
   Video 38, Frame 512, Value 2.7026
--------------------------------------------------
Neuron 2 → max=2.9341, min=0.0000, thr=2.9253
   Video 0, Frame 729, Value 2.9256
   Video 0, Frame 730, Value 2.9276
   Video 0, Frame 731, Value 2.9276
   Video 0, Frame 732, Value 2.9277
   Video 0, Frame 733, Value 2.9283
   Video 0, Frame 734, Value 2.9269
   Video 0, Frame 735, Value 2.9279
   Video 0, Frame 736, Value 2.9285
   Video 7, Frame 827, Value 2.9254
   Video 8, Frame 1120, Value 2.9259
   Video 8, Frame 1121, Value 2.9271
   Video 8, Frame 1122, Value 2.9273
   Video 8, Frame 1123, Value 2.9269
   Video 8, Frame 1124, Value 2.9285
   Video 27, Frame 761, Value 2.9262
   Video 27, Frame 762, Value 2.9270
   Video 27, Frame 763, Value 2.9292
   Video 27, Frame 764, Value 2.9296
   Video 27, Frame 765, Value 2.9303
   Video 27, Frame 766, Value 2.9307
   Video 27, Frame 767, Value 2.9304
   Video 29, Frame 886, Value 2.9270
   Video 29, Frame 887, Value 2.9276
   Video 29, Frame 888, Value 2.9270
   Video 29, Frame 889, Value 2.9286
   Video 29, Frame 890, Value 2.9284
   Video 35, Frame 1132, Value 2.9277
   Video 35, Frame 1133, Value 2.9288
   Video 35, Frame 1134, Value 2.9288
   Video 35, Frame 1135, Value 2.9291
   Video 35, Frame 1136, Value 2.9307
   Video 35, Frame 1137, Value 2.9312
   Video 35, Frame 1138, Value 2.9338
   Video 35, Frame 1139, Value 2.9341
   Video 35, Frame 1140, Value 2.9332
   Video 35, Frame 1141, Value 2.9330
   Video 35, Frame 1142, Value 2.9325
   Video 35, Frame 1143, Value 2.9320
--------------------------------------------------
Neuron 3 → max=5.8660, min=0.0000, thr=5.8484
   Video 4, Frame 2089, Value 5.8570
   Video 4, Frame 2090, Value 5.8642
   Video 4, Frame 2091, Value 5.8626
   Video 4, Frame 2092, Value 5.8631
   Video 4, Frame 2093, Value 5.8660
   Video 4, Frame 2094, Value 5.8519
--------------------------------------------------
Neuron 4 → max=5.3815, min=0.0000, thr=5.3654
   Video 8, Frame 2399, Value 5.3666
   Video 8, Frame 2400, Value 5.3690
   Video 8, Frame 2401, Value 5.3788
   Video 8, Frame 2402, Value 5.3795
   Video 8, Frame 2403, Value 5.3798
   Video 8, Frame 2404, Value 5.3805
   Video 8, Frame 2405, Value 5.3812
   Video 8, Frame 2406, Value 5.3815
   Video 15, Frame 2680, Value 5.3689
   Video 15, Frame 2681, Value 5.3687
   Video 15, Frame 2682, Value 5.3698
   Video 15, Frame 2683, Value 5.3694
   Video 15, Frame 2684, Value 5.3725
   Video 15, Frame 2685, Value 5.3744
   Video 15, Frame 2686, Value 5.3740
   Video 15, Frame 2687, Value 5.3734
   Video 15, Frame 2688, Value 5.3712
   Video 15, Frame 2689, Value 5.3710
   Video 15, Frame 2690, Value 5.3709
   Video 15, Frame 2691, Value 5.3702
   Video 28, Frame 1780, Value 5.3655
--------------------------------------------------
Neuron 5 → max=1.9657, min=0.0000, thr=1.9598
   Video 2, Frame 776, Value 1.9617
   Video 2, Frame 777, Value 1.9624
   Video 2, Frame 778, Value 1.9654
   Video 2, Frame 779, Value 1.9656
   Video 2, Frame 780, Value 1.9643
   Video 2, Frame 781, Value 1.9649
   Video 2, Frame 782, Value 1.9650
   Video 2, Frame 783, Value 1.9644
   Video 2, Frame 784, Value 1.9630
   Video 2, Frame 785, Value 1.9637
   Video 2, Frame 786, Value 1.9628
   Video 2, Frame 787, Value 1.9634
   Video 2, Frame 788, Value 1.9617
   Video 2, Frame 789, Value 1.9634
   Video 2, Frame 790, Value 1.9628
   Video 2, Frame 791, Value 1.9624
   Video 2, Frame 792, Value 1.9630
   Video 2, Frame 793, Value 1.9633
   Video 2, Frame 794, Value 1.9628
   Video 2, Frame 795, Value 1.9636
   Video 2, Frame 796, Value 1.9640
   Video 2, Frame 797, Value 1.9645
   Video 2, Frame 798, Value 1.9641
   Video 2, Frame 799, Value 1.9645
   Video 2, Frame 800, Value 1.9623
   Video 2, Frame 801, Value 1.9637
   Video 2, Frame 802, Value 1.9642
   Video 2, Frame 803, Value 1.9647
   Video 2, Frame 804, Value 1.9643
   Video 2, Frame 805, Value 1.9638
   Video 4, Frame 779, Value 1.9599
   Video 4, Frame 780, Value 1.9611
   Video 4, Frame 781, Value 1.9604
   Video 4, Frame 782, Value 1.9605
   Video 4, Frame 783, Value 1.9600
   Video 4, Frame 805, Value 1.9598
   Video 4, Frame 807, Value 1.9601
   Video 4, Frame 809, Value 1.9600
   Video 4, Frame 815, Value 1.9598
   Video 4, Frame 817, Value 1.9598
   Video 4, Frame 819, Value 1.9599
   Video 4, Frame 820, Value 1.9601
   Video 4, Frame 821, Value 1.9602
   Video 4, Frame 822, Value 1.9609
   Video 4, Frame 823, Value 1.9605
   Video 4, Frame 824, Value 1.9598
   Video 4, Frame 825, Value 1.9603
   Video 4, Frame 827, Value 1.9610
   Video 4, Frame 829, Value 1.9600
   Video 4, Frame 830, Value 1.9605
