Neuron 0 → Top40 frames
   Video 2, Frame 5738, Value 5.4109
   Video 2, Frame 5739, Value 5.4010
   Video 2, Frame 5737, Value 5.3984
   Video 2, Frame 5736, Value 5.3740
   Video 29, Frame 2871, Value 5.3683
   Video 2, Frame 5740, Value 5.3386
   Video 29, Frame 2870, Value 5.3366
   Video 5, Frame 2072, Value 5.3315
   Video 29, Frame 2872, Value 5.3248
   Video 5, Frame 2071, Value 5.3201
   Video 5, Frame 2073, Value 5.3199
   Video 2, Frame 5761, Value 5.3118
   Video 2, Frame 5762, Value 5.3114
   Video 2, Frame 5760, Value 5.3098
   Video 2, Frame 5741, Value 5.3090
   Video 2, Frame 5759, Value 5.3068
   Video 2, Frame 5763, Value 5.3037
   Video 37, Frame 3062, Value 5.2987
   Video 37, Frame 3063, Value 5.2975
   Video 37, Frame 3061, Value 5.2972
   Video 2, Frame 5758, Value 5.2958
   Video 37, Frame 3060, Value 5.2937
   Video 37, Frame 3065, Value 5.2937
   Video 2, Frame 5757, Value 5.2932
   Video 2, Frame 5744, Value 5.2932
   Video 2, Frame 5746, Value 5.2930
   Video 37, Frame 3064, Value 5.2928
   Video 2, Frame 5745, Value 5.2927
   Video 2, Frame 5756, Value 5.2916
   Video 37, Frame 3059, Value 5.2900
   Video 2, Frame 5742, Value 5.2897
   Video 34, Frame 2070, Value 5.2897
   Video 34, Frame 2069, Value 5.2887
   Video 2, Frame 5743, Value 5.2863
   Video 2, Frame 5735, Value 5.2849
   Video 5, Frame 2070, Value 5.2831
   Video 2, Frame 5747, Value 5.2802
   Video 37, Frame 3058, Value 5.2763
   Video 2, Frame 5764, Value 5.2759
   Video 2, Frame 5750, Value 5.2751
--------------------------------------------------
Neuron 1 → Top40 frames
   Video 15, Frame 512, Value 2.7073
   Video 16, Frame 512, Value 2.7053
   Video 6, Frame 512, Value 2.7052
   Video 30, Frame 512, Value 2.7049
   Video 10, Frame 512, Value 2.7045
   Video 11, Frame 512, Value 2.7042
   Video 2, Frame 512, Value 2.7041
   Video 36, Frame 512, Value 2.7040
   Video 5, Frame 512, Value 2.7038
   Video 27, Frame 512, Value 2.7036
   Video 4, Frame 512, Value 2.7033
   Video 19, Frame 512, Value 2.7032
   Video 26, Frame 512, Value 2.7030
   Video 17, Frame 512, Value 2.7028
   Video 38, Frame 512, Value 2.7026
   Video 0, Frame 512, Value 2.7025
   Video 16, Frame 515, Value 2.7023
   Video 16, Frame 514, Value 2.7017
   Video 34, Frame 512, Value 2.7016
   Video 24, Frame 512, Value 2.7015
   Video 11, Frame 515, Value 2.7014
   Video 13, Frame 512, Value 2.7012
   Video 29, Frame 512, Value 2.7011
   Video 11, Frame 514, Value 2.7010
   Video 8, Frame 512, Value 2.7009
   Video 30, Frame 515, Value 2.7005
   Video 25, Frame 512, Value 2.7004
   Video 30, Frame 514, Value 2.6998
   Video 7, Frame 512, Value 2.6996
   Video 15, Frame 513, Value 2.6970
   Video 18, Frame 512, Value 2.6969
   Video 6, Frame 513, Value 2.6946
   Video 15, Frame 515, Value 2.6943
   Video 10, Frame 513, Value 2.6940
   Video 2, Frame 513, Value 2.6935
   Video 36, Frame 513, Value 2.6934
   Video 16, Frame 513, Value 2.6933
   Video 15, Frame 514, Value 2.6931
   Video 0, Frame 513, Value 2.6930
   Video 4, Frame 513, Value 2.6930
--------------------------------------------------
Neuron 2 → Top40 frames
   Video 35, Frame 1139, Value 2.9341
   Video 35, Frame 1138, Value 2.9338
   Video 35, Frame 1140, Value 2.9332
   Video 35, Frame 1141, Value 2.9330
   Video 35, Frame 1142, Value 2.9325
   Video 35, Frame 1143, Value 2.9320
   Video 35, Frame 1137, Value 2.9312
   Video 35, Frame 1136, Value 2.9307
   Video 27, Frame 766, Value 2.9307
   Video 27, Frame 767, Value 2.9304
   Video 27, Frame 765, Value 2.9303
   Video 27, Frame 764, Value 2.9296
   Video 27, Frame 763, Value 2.9292
   Video 35, Frame 1135, Value 2.9291
   Video 35, Frame 1133, Value 2.9288
   Video 35, Frame 1134, Value 2.9288
   Video 29, Frame 889, Value 2.9286
   Video 8, Frame 1124, Value 2.9285
   Video 0, Frame 736, Value 2.9285
   Video 29, Frame 890, Value 2.9284
   Video 0, Frame 733, Value 2.9283
   Video 0, Frame 735, Value 2.9279
   Video 0, Frame 732, Value 2.9277
   Video 35, Frame 1132, Value 2.9277
   Video 29, Frame 887, Value 2.9276
   Video 0, Frame 730, Value 2.9276
   Video 0, Frame 731, Value 2.9276
   Video 8, Frame 1122, Value 2.9273
   Video 8, Frame 1121, Value 2.9271
   Video 29, Frame 886, Value 2.9270
   Video 27, Frame 762, Value 2.9270
   Video 29, Frame 888, Value 2.9270
   Video 8, Frame 1123, Value 2.9269
   Video 0, Frame 734, Value 2.9269
   Video 27, Frame 761, Value 2.9262
   Video 8, Frame 1120, Value 2.9259
   Video 0, Frame 729, Value 2.9256
   Video 7, Frame 827, Value 2.9254
   Video 0, Frame 727, Value 2.9251
   Video 7, Frame 826, Value 2.9251
--------------------------------------------------
Neuron 3 → Top40 frames
   Video 4, Frame 2093, Value 5.8660
   Video 4, Frame 2090, Value 5.8642
   Video 4, Frame 2092, Value 5.8631
   Video 4, Frame 2091, Value 5.8626
   Video 4, Frame 2089, Value 5.8570
   Video 4, Frame 2094, Value 5.8519
   Video 4, Frame 2095, Value 5.8376
   Video 4, Frame 2097, Value 5.8352
   Video 4, Frame 2096, Value 5.8344
   Video 4, Frame 2098, Value 5.8310
   Video 4, Frame 2101, Value 5.8305
   Video 4, Frame 2099, Value 5.8292
   Video 4, Frame 2102, Value 5.8292
   Video 4, Frame 2100, Value 5.8288
   Video 4, Frame 2087, Value 5.8264
   Video 4, Frame 2088, Value 5.8260
   Video 4, Frame 2086, Value 5.8239
   Video 4, Frame 2085, Value 5.8211
   Video 4, Frame 2163, Value 5.8189
   Video 4, Frame 2166, Value 5.8181
   Video 4, Frame 2162, Value 5.8176
   Video 4, Frame 2084, Value 5.8176
   Video 4, Frame 2164, Value 5.8172
   Video 4, Frame 2165, Value 5.8168
   Video 4, Frame 2082, Value 5.8152
   Video 4, Frame 2083, Value 5.8141
   Video 4, Frame 2161, Value 5.8136
   Video 4, Frame 2167, Value 5.8133
   Video 4, Frame 2079, Value 5.8123
   Video 4, Frame 2081, Value 5.8116
   Video 4, Frame 2080, Value 5.8116
   Video 4, Frame 2160, Value 5.8111
   Video 4, Frame 2078, Value 5.8094
   Video 4, Frame 2168, Value 5.8080
   Video 4, Frame 2150, Value 5.8076
   Video 4, Frame 2151, Value 5.8073
   Video 4, Frame 2152, Value 5.8058
   Video 4, Frame 2103, Value 5.8057
