Neuron 0 → max=20.5010, min=0.0000, thr=18.4509
   Video 15, Frame 1459, Value 18.5011
   Video 15, Frame 1463, Value 18.9326
   Video 15, Frame 1464, Value 18.9595
   Video 15, Frame 1466, Value 18.5010
   Video 15, Frame 1467, Value 18.9633
   Video 15, Frame 1468, Value 19.1009
   Video 15, Frame 1469, Value 18.6813
   Video 15, Frame 1470, Value 19.0228
   Video 15, Frame 1471, Value 18.6660
   Video 15, Frame 1472, Value 19.0560
   Video 15, Frame 1480, Value 18.6508
   Video 15, Frame 1481, Value 18.7305
   Video 15, Frame 1482, Value 19.9934
   Video 15, Frame 1483, Value 19.2058
   Video 15, Frame 1484, Value 19.8370
   Video 15, Frame 1485, Value 19.1485
   Video 15, Frame 1486, Value 18.6432
   Video 15, Frame 1487, Value 18.5446
   Video 15, Frame 1488, Value 19.5420
   Video 15, Frame 1489, Value 18.8295
   Video 15, Frame 1490, Value 19.4944
   Video 15, Frame 1491, Value 19.5283
   Video 15, Frame 1492, Value 20.2839
   Video 15, Frame 1493, Value 19.1901
   Video 15, Frame 1494, Value 19.8694
   Video 15, Frame 1495, Value 19.4072
   Video 15, Frame 1496, Value 19.4466
   Video 15, Frame 1497, Value 18.8548
   Video 15, Frame 1498, Value 20.1616
   Video 15, Frame 1499, Value 20.5010
   Video 15, Frame 1500, Value 19.4084
   Video 15, Frame 1501, Value 20.4304
   Video 21, Frame 632, Value 18.8916
   Video 21, Frame 634, Value 19.0473
   Video 28, Frame 649, Value 18.9337
   Video 29, Frame 1198, Value 18.5160
   Video 29, Frame 1200, Value 18.9601
   Video 29, Frame 1201, Value 19.0889
   Video 29, Frame 1217, Value 18.9693
--------------------------------------------------
Neuron 1 → max=12.8066, min=0.0000, thr=11.5259
   Video 9, Frame 1665, Value 11.7767
   Video 9, Frame 1667, Value 11.5463
   Video 9, Frame 1668, Value 11.6621
   Video 9, Frame 1669, Value 12.1734
   Video 9, Frame 1670, Value 12.2840
   Video 9, Frame 1671, Value 12.5976
   Video 9, Frame 1673, Value 11.9391
   Video 9, Frame 1674, Value 11.5641
   Video 20, Frame 62, Value 11.7819
   Video 20, Frame 64, Value 11.5668
   Video 20, Frame 65, Value 11.8551
   Video 20, Frame 69, Value 12.0274
   Video 20, Frame 70, Value 12.1394
   Video 20, Frame 71, Value 12.0652
   Video 20, Frame 72, Value 12.4968
   Video 20, Frame 73, Value 12.6917
   Video 20, Frame 74, Value 12.4531
   Video 20, Frame 75, Value 12.6144
   Video 20, Frame 76, Value 12.7099
   Video 20, Frame 77, Value 12.8066
   Video 20, Frame 78, Value 12.7547
   Video 20, Frame 79, Value 11.8190
--------------------------------------------------
Neuron 2 → max=22.4773, min=0.0000, thr=20.2296
   Video 4, Frame 135, Value 20.9921
   Video 4, Frame 138, Value 20.2676
   Video 4, Frame 159, Value 20.3014
   Video 4, Frame 160, Value 20.7927
   Video 4, Frame 161, Value 21.1358
   Video 4, Frame 162, Value 20.4105
   Video 9, Frame 246, Value 20.2620
   Video 17, Frame 121, Value 20.6308
   Video 17, Frame 122, Value 20.7904
   Video 17, Frame 123, Value 20.6361
   Video 17, Frame 124, Value 20.6939
   Video 17, Frame 125, Value 20.5822
   Video 17, Frame 131, Value 20.2534
   Video 19, Frame 187, Value 20.5886
   Video 19, Frame 201, Value 20.2461
   Video 27, Frame 115, Value 20.5209
   Video 27, Frame 142, Value 20.5690
   Video 27, Frame 145, Value 20.3300
   Video 27, Frame 147, Value 20.4419
   Video 27, Frame 157, Value 20.2758
   Video 27, Frame 159, Value 20.8237
   Video 27, Frame 160, Value 20.5557
   Video 27, Frame 161, Value 21.2032
   Video 27, Frame 177, Value 20.6813
   Video 27, Frame 178, Value 20.5724
   Video 27, Frame 179, Value 20.9187
   Video 27, Frame 181, Value 20.7871
   Video 27, Frame 184, Value 20.2694
   Video 27, Frame 185, Value 21.0715
   Video 27, Frame 186, Value 20.6268
   Video 27, Frame 187, Value 22.4773
   Video 27, Frame 188, Value 20.7207
   Video 27, Frame 189, Value 21.1122
   Video 27, Frame 190, Value 21.0533
   Video 34, Frame 263, Value 20.3513
   Video 34, Frame 267, Value 20.2701
--------------------------------------------------
Neuron 3 → max=17.9098, min=0.0000, thr=16.1188
   Video 6, Frame 4035, Value 17.0820
   Video 6, Frame 4037, Value 16.7664
   Video 6, Frame 4038, Value 16.6705
   Video 6, Frame 4043, Value 16.7125
   Video 6, Frame 4044, Value 16.1240
   Video 9, Frame 1313, Value 17.2115
   Video 9, Frame 1315, Value 16.3691
   Video 9, Frame 1317, Value 16.9998
   Video 9, Frame 1321, Value 16.6316
   Video 9, Frame 1322, Value 16.3208
   Video 14, Frame 1812, Value 16.9166
   Video 14, Frame 1813, Value 16.2001
   Video 14, Frame 1814, Value 16.5086
   Video 15, Frame 1457, Value 16.6430
   Video 15, Frame 1459, Value 17.1013
   Video 15, Frame 1462, Value 16.4346
   Video 15, Frame 1463, Value 16.7415
   Video 15, Frame 1464, Value 17.1093
   Video 15, Frame 1465, Value 16.6557
   Video 15, Frame 1466, Value 16.8019
   Video 15, Frame 1467, Value 16.9682
   Video 15, Frame 1468, Value 17.1610
   Video 15, Frame 1469, Value 16.9074
   Video 15, Frame 1470, Value 16.8130
   Video 15, Frame 1471, Value 16.6240
   Video 15, Frame 1472, Value 17.1316
   Video 15, Frame 1480, Value 16.1548
   Video 15, Frame 1482, Value 16.7731
   Video 15, Frame 1483, Value 16.6987
   Video 15, Frame 1484, Value 17.3209
   Video 15, Frame 1485, Value 16.6578
   Video 15, Frame 1486, Value 16.3111
   Video 15, Frame 1487, Value 16.2019
   Video 15, Frame 1488, Value 17.4377
   Video 15, Frame 1489, Value 16.5464
   Video 15, Frame 1490, Value 16.8276
   Video 15, Frame 1491, Value 17.2257
   Video 15, Frame 1492, Value 17.6747
   Video 15, Frame 1493, Value 16.4875
   Video 15, Frame 1494, Value 16.8895
   Video 15, Frame 1495, Value 16.7909
   Video 15, Frame 1496, Value 16.6263
   Video 15, Frame 1497, Value 16.6647
   Video 15, Frame 1498, Value 17.7285
   Video 15, Frame 1499, Value 17.9098
   Video 15, Frame 1501, Value 16.5106
   Video 17, Frame 927, Value 16.1823
   Video 17, Frame 933, Value 16.1649
   Video 17, Frame 934, Value 16.3118
   Video 17, Frame 935, Value 16.4028
   Video 17, Frame 939, Value 16.1761
   Video 17, Frame 940, Value 16.2824
   Video 17, Frame 941, Value 16.1915
   Video 17, Frame 942, Value 16.2885
   Video 17, Frame 943, Value 16.2447
   Video 17, Frame 946, Value 16.5774
   Video 17, Frame 947, Value 16.9854
   Video 17, Frame 948, Value 16.4248
   Video 17, Frame 949, Value 16.9475
   Video 20, Frame 814, Value 16.3067
   Video 20, Frame 815, Value 16.4136
   Video 20, Frame 816, Value 16.6408
   Video 20, Frame 817, Value 16.1991
   Video 20, Frame 818, Value 16.8290
   Video 20, Frame 819, Value 16.9956
   Video 20, Frame 845, Value 16.3044
   Video 20, Frame 849, Value 16.4068
   Video 20, Frame 850, Value 17.0423
   Video 20, Frame 851, Value 16.5914
   Video 20, Frame 852, Value 16.5901
   Video 20, Frame 854, Value 16.4647
   Video 20, Frame 856, Value 16.2837
   Video 21, Frame 594, Value 16.6193
   Video 21, Frame 600, Value 16.1332
   Video 21, Frame 608, Value 16.3302
   Video 21, Frame 609, Value 16.5096
   Video 21, Frame 630, Value 16.9456
   Video 21, Frame 632, Value 17.2508
   Video 21, Frame 633, Value 16.4133
   Video 21, Frame 634, Value 16.8362
